course_title,course_type,partnership,skill_level,topic,url
Evaluating and Debugging Generative AI Models Using Weights and Biases,Short Courses,Weights and Biases,Intermediate,"Evaluation and Monitoring,Fine-Tuning,Generative Models,LLMOps,MLOps,MultiModal,Prompt Engineering",
Building Generative AI Applications with Gradio,Short Courses,Hugging Face,Beginner,"Chatbots,Diffusion Models,GenAI Applications,Generative Models",
LangChain: Chat with Your Data,Short Courses,LangChain,Beginner,"Computer Vision,Document Processing,Embeddings,RAG,Vector Databases",
Generative AI with LLMs,Courses,,Intermediate,"Fine-Tuning,GenAI Applications,Generative Models,Prompt Engineering,Transformers",
How Diffusion Models Work,Short Courses,,Intermediate,"Deep Learning,Diffusion Models,GenAI Applications,Generative Models",
LangChain for LLM Application Development,Short Courses,LangChain,Beginner,"AI Frameworks,Agents,Chatbots,Generative Models,Prompt Engineering,RAG",
Building Systems with the ChatGPT API,Short Courses,OpenAI,Beginner,"AI Safety,Chatbots,GenAI Applications,Generative Models,Prompt Engineering",
ChatGPT Prompt Engineering for Developers,Short Courses,OpenAI,Beginner,"GenAI Applications,Prompt Engineering,Transformers",
AI for Good,Specializations,,Beginner,"Computer Vision,Data Processing,GenAI Applications,NLP,Supervised Learning",
Mathematics for Machine Learning and Data Science,Specializations,,Beginner,"Deep Learning,Mathematical Foundations,Supervised Learning",
Machine Learning Specialization,Specializations,Stanford Online,Beginner,"Anomaly Detection,Deep Learning,Machine Learning,Supervised Learning,Unsupervised Learning",
TensorFlow: Advanced Techniques,Specializations,,Intermediate,,
Generative Adversarial Networks (GANs),Specializations,,Intermediate,"Computer Vision,Deep Learning,Generative Models",
TensorFlow: Data and Deployment,Specializations,,Intermediate,"Data Processing,MLOps,On-Device AI",
TensorFlow Developer Professional Certificate,Specializations,,Intermediate,"AI Frameworks,Computer Vision,Deep Learning,NLP,Time Series",
Natural Language Processing,Specializations,Hugging Face,Intermediate,"Chatbots,Embeddings,NLP,Transformers",
Deep Learning Specialization,Specializations,,Intermediate,"Computer Vision,Deep Learning,NLP,Supervised Learning,Transformers",
AI for Medicine ,Specializations,,Intermediate,"Computer Vision,Deep Learning,Evaluation and Monitoring,Generative Models,NLP",
AI for Everyone,Courses,,Beginner,"Deep Learning,Machine Learning",
